% Transfer function for transducer: 19PM1620G measured at 0.5 V amplitude within a frequency range of 101 Hz and 50000 Hz
% Data written on: 2015/02/26
% Frequency(Hz)	Re(Hbx)(m/V)	Im(Hbx)(m/V)
1.520100000000000000e+04	-4.048620998937409423e-08	2.063111203273993955e-07
1.530100000000000000e+04	-9.157440950344999147e-08	2.116634547278499191e-07
1.540100000000000000e+04	-1.937485250286193317e-07	2.642776577204180973e-07
1.550100000000000000e+04	-2.516113424699835485e-07	2.654796766496164687e-07
1.560100000000000000e+04	-3.097293215724954673e-07	3.034648849513867453e-07
1.570100000000000000e+04	-4.166175782793467907e-07	2.746366000873201808e-07
1.580100000000000000e+04	-4.557244609385854424e-07	2.528287054239071500e-07
1.590100000000000000e+04	-4.801200181646775512e-07	3.005301173762020662e-07
1.600100000000000000e+04	-5.535473250253968151e-07	2.637581629147934428e-07
1.610100000000000000e+04	-6.285946866974295620e-07	2.889146205513334687e-07
1.620100000000000000e+04	-7.738673679404508461e-07	3.405285337187397669e-07
1.630100000000000000e+04	-8.684389769688052136e-07	3.730938262208693696e-07
1.640100000000000000e+04	-8.503422171585160469e-07	4.588628459622167402e-07
1.650100000000000000e+04	-8.920987730206046029e-07	4.787412539483929362e-07
1.660100000000000000e+04	-8.800653123229654105e-07	5.278939127118051965e-07
1.670100000000000000e+04	-9.274030166082516476e-07	6.029523055619883407e-07
1.680100000000000000e+04	-9.650583168002325436e-07	6.317999197834861567e-07
1.690100000000000000e+04	-9.127207732394601661e-07	6.285909939074969597e-07
1.700100000000000000e+04	-9.462557180871391853e-07	6.408918573542890828e-07
1.710100000000000000e+04	-9.560843805352701118e-07	6.649720014450953368e-07
1.720100000000000000e+04	-9.542758960797427866e-07	6.828154676783610961e-07
1.730100000000000000e+04	-9.733040289848759793e-07	7.212912976251858750e-07
1.740100000000000000e+04	-9.712290704585471195e-07	7.099591757051836327e-07
1.750100000000000000e+04	-1.009815442247866783e-06	7.296479335944547022e-07
1.760100000000000000e+04	-1.021817706399531429e-06	7.491032073281851828e-07
1.770100000000000000e+04	-1.008568000650759884e-06	7.490793263866372134e-07
1.780100000000000000e+04	-1.012413104673551634e-06	7.936952604993782047e-07
1.790100000000000000e+04	-1.035318446615394063e-06	7.829098573559420096e-07
1.800100000000000000e+04	-1.057445955646228303e-06	8.108353564244482780e-07
1.810100000000000000e+04	-1.063666256428135628e-06	8.275231681617167927e-07
1.820100000000000000e+04	-1.075060215080304314e-06	8.343653675966740973e-07
1.830100000000000000e+04	-1.051794077991081954e-06	8.535843039498361609e-07
1.840100000000000000e+04	-1.097920034929021863e-06	8.616573808551514666e-07
1.850100000000000000e+04	-1.094805134387747621e-06	8.889600714028090395e-07
1.860100000000000000e+04	-1.100687848894462418e-06	9.085482647756284092e-07
1.870100000000000000e+04	-1.126343706854278318e-06	9.050800509726587047e-07
1.880100000000000000e+04	-1.110633100614273596e-06	9.104482256438204489e-07
1.890100000000000000e+04	-1.136066125768689659e-06	9.379270438540216065e-07
1.900100000000000000e+04	-1.137229095424419701e-06	9.732386287940116471e-07
1.910100000000000000e+04	-1.141842558560489352e-06	9.837749421199436317e-07
1.920100000000000000e+04	-1.159809011224932425e-06	9.940643898272606919e-07
1.930100000000000000e+04	-1.151533430648076598e-06	9.852811015332498724e-07
1.940100000000000000e+04	-1.167562263662578246e-06	1.031870366019242569e-06
1.950100000000000000e+04	-1.160446759639223195e-06	1.043098362763320897e-06
1.960100000000000000e+04	-1.165394837454562883e-06	1.064848515322916352e-06
1.970100000000000000e+04	-1.185708549751480138e-06	1.090294307535336851e-06
1.980100000000000000e+04	-1.195934265532753180e-06	1.087126630566757341e-06
1.990100000000000000e+04	-1.193213484642113933e-06	1.133498193912661631e-06
2.000100000000000000e+04	-1.172200309391622649e-06	1.147099433035442985e-06
2.010100000000000000e+04	-1.165805717890988884e-06	1.163801810409236114e-06
2.020100000000000000e+04	-1.164841901559641558e-06	1.185503515636134727e-06
2.030100000000000000e+04	-1.178392516804882232e-06	1.181173330994896356e-06
2.040100000000000000e+04	-1.143537749064922291e-06	1.214254424389580116e-06
2.050100000000000000e+04	-1.138216950466548750e-06	1.204945696783146603e-06
2.060100000000000000e+04	-1.125620651489988571e-06	1.214300422881140433e-06
2.070100000000000000e+04	-1.112720851797876757e-06	1.239968690520983196e-06
2.080100000000000000e+04	-1.126251103490949078e-06	1.228078117537463655e-06
2.090100000000000000e+04	-1.097668704504351229e-06	1.229147605642467515e-06
2.100100000000000000e+04	-1.086454365915826471e-06	1.206575058422997628e-06
2.110100000000000000e+04	-1.086754186709844478e-06	1.205988287677179913e-06
2.120100000000000000e+04	-1.084843177067591537e-06	1.206340963335924413e-06
2.130100000000000000e+04	-1.113065525014122124e-06	1.206268811494164570e-06
2.140100000000000000e+04	-1.086273080462039586e-06	1.189424580779607652e-06
2.150100000000000000e+04	-1.108045256211281221e-06	1.184400641354900175e-06
2.160100000000000000e+04	-1.104098830227142828e-06	1.175120336855414608e-06
2.170100000000000000e+04	-1.078852150150311098e-06	1.175976260445159765e-06
2.180100000000000000e+04	-1.106333292862595019e-06	1.161783611817752488e-06
2.190100000000000000e+04	-1.105533976606009349e-06	1.117778095891617763e-06
2.200100000000000000e+04	-1.145848596686680077e-06	1.083875966785867394e-06
2.210100000000000000e+04	-1.184756564995362663e-06	1.068279159446576629e-06
2.220100000000000000e+04	-1.207145715658872599e-06	1.058948639260258155e-06
2.230100000000000000e+04	-1.250191912684309237e-06	1.071590484101800692e-06
2.240100000000000000e+04	-1.264248998612285786e-06	1.033668362416899828e-06
2.250100000000000000e+04	-1.297725351917779082e-06	1.006333470057080783e-06
2.260100000000000000e+04	-1.337623973188400610e-06	9.724392505382054463e-07
2.270100000000000000e+04	-1.374756281330408143e-06	9.196979452922137871e-07
2.280100000000000000e+04	-1.480438934108686647e-06	8.815691286259368988e-07
2.290100000000000000e+04	-1.631339297049721773e-06	8.140492212553298169e-07
2.300100000000000000e+04	-1.853856360310026800e-06	8.374465307265082424e-07
2.310100000000000000e+04	-2.079606993262491933e-06	9.524214604058501226e-07
2.320100000000000000e+04	-2.241163073815288709e-06	1.157905073598094879e-06
2.330100000000000000e+04	-2.337174393819931292e-06	1.401037506123342724e-06
2.340100000000000000e+04	-2.337116628477777619e-06	1.581273939309430895e-06
2.350100000000000000e+04	-2.313834159284277928e-06	1.740483835568661518e-06
2.360100000000000000e+04	-2.264533704253936618e-06	1.850467487781975750e-06
2.370100000000000000e+04	-2.208294268430917484e-06	1.943469240619073426e-06
2.380100000000000000e+04	-2.184330045593316540e-06	2.041523376330441896e-06
2.390100000000000000e+04	-2.150990866341779843e-06	2.110021625542490836e-06
2.400100000000000000e+04	-2.129772594364969376e-06	2.196465563816023679e-06
2.410100000000000000e+04	-2.090151991918609701e-06	2.270638160876356650e-06
2.420100000000000000e+04	-2.019044091543869714e-06	2.324925308989872217e-06
2.430100000000000000e+04	-1.964442057155080487e-06	2.399658948118071977e-06
2.440100000000000000e+04	-1.918267119601151739e-06	2.434870660605615484e-06
2.450100000000000000e+04	-1.896730823364512462e-06	2.480196104944135365e-06
2.460100000000000000e+04	-1.850511868302788833e-06	2.527914497252126070e-06
2.470100000000000000e+04	-1.781255487793312626e-06	2.547859597463386387e-06
2.480100000000000000e+04	-1.740503756477482816e-06	2.592817764496497720e-06
2.490100000000000000e+04	-1.690204307689995779e-06	2.574384195333198434e-06
2.500100000000000000e+04	-1.670147122400663047e-06	2.590891857873533267e-06
2.510100000000000000e+04	-1.659527279226922999e-06	2.598314783771117319e-06
2.520100000000000000e+04	-1.622347327225241900e-06	2.616885791090431045e-06
2.530100000000000000e+04	-1.584752594884462525e-06	2.670949582283874824e-06
2.540100000000000000e+04	-1.522906434092447404e-06	2.630798580382636344e-06
2.550100000000000000e+04	-1.505190012097677495e-06	2.585126044562748002e-06
2.560100000000000000e+04	-1.523438606454090089e-06	2.515522404843917402e-06
2.570100000000000000e+04	-1.574184821818898109e-06	2.444557533124680992e-06
2.580100000000000000e+04	-1.662471789875438423e-06	2.438346320378898919e-06
2.590100000000000000e+04	-1.753596301283330676e-06	2.409569560255853808e-06
2.600100000000000000e+04	-1.894272347477566253e-06	2.429122360362959091e-06
2.610100000000000000e+04	-2.027215887277011934e-06	2.476572385544494613e-06
2.620100000000000000e+04	-2.172104050737647538e-06	2.581502104990285896e-06
2.630100000000000000e+04	-2.316827833873770020e-06	2.794232818044067424e-06
2.640100000000000000e+04	-2.391679705144886972e-06	3.024752665360462874e-06
2.650100000000000000e+04	-2.427082660542813666e-06	3.303542376521289265e-06
2.660100000000000000e+04	-2.377122412289882264e-06	3.567943778170808381e-06
2.670100000000000000e+04	-2.265413758628695893e-06	3.787171848849329972e-06
2.680100000000000000e+04	-2.156461672161495625e-06	3.985914731308186583e-06
2.690100000000000000e+04	-1.999495352345185148e-06	4.102731709974434594e-06
2.700100000000000000e+04	-1.853495530426743251e-06	4.202115965863552807e-06
2.710100000000000000e+04	-1.684421894407759893e-06	4.280868426673123092e-06
2.720100000000000000e+04	-1.494906037083209613e-06	4.326728185485379180e-06
2.730100000000000000e+04	-1.326603750271922330e-06	4.337738236355968339e-06
2.740100000000000000e+04	-1.151616224413053180e-06	4.282984180819520586e-06
2.750100000000000000e+04	-1.017715535696009024e-06	4.164265299242034264e-06
2.760100000000000000e+04	-9.421431869081770869e-07	3.982201189061082658e-06
2.770100000000000000e+04	-9.645996996191604530e-07	3.778226454601414276e-06
2.780100000000000000e+04	-1.149962925207602354e-06	3.611622171094934954e-06
2.790100000000000000e+04	-1.323758228189092503e-06	3.556375126673569210e-06
2.800100000000000000e+04	-1.450427402908303073e-06	3.613632976064700389e-06
2.810100000000000000e+04	-1.511662078813146275e-06	3.750583594439417955e-06
2.820100000000000000e+04	-1.526821273647161463e-06	3.925304050788778684e-06
2.830100000000000000e+04	-1.578972093555629187e-06	4.096732648121819373e-06
2.840100000000000000e+04	-1.584659540530964961e-06	4.287965015522514406e-06
2.850100000000000000e+04	-1.591344209942690366e-06	4.464331329213801502e-06
2.860100000000000000e+04	-1.590108467484018701e-06	4.680739815612492106e-06
2.870100000000000000e+04	-1.597174363315014516e-06	4.916273088566737510e-06
2.880100000000000000e+04	-1.590537041826537781e-06	5.162283300063181550e-06
2.890100000000000000e+04	-1.548438903978639055e-06	5.461739293714320532e-06
2.900100000000000000e+04	-1.478166519029521725e-06	5.764352784455879973e-06
2.910100000000000000e+04	-1.410065567116626470e-06	6.137794171920538520e-06
2.920100000000000000e+04	-1.275591262024303679e-06	6.603520304532219948e-06
2.930100000000000000e+04	-1.099522392162537929e-06	7.103283798752584667e-06
2.940100000000000000e+04	-7.425712427794497405e-07	7.821547731013202726e-06
2.950100000000000000e+04	-4.128437667975019535e-08	8.722279083952302146e-06
2.960100000000000000e+04	1.290464160488902737e-06	9.585666378405359670e-06
2.970100000000000000e+04	3.237236143799568642e-06	9.860940965676330558e-06
2.980100000000000000e+04	5.352612036812663148e-06	9.156867592629534068e-06
2.990100000000000000e+04	6.873669977247478228e-06	7.645243901461302603e-06
3.000100000000000000e+04	7.508330139018930262e-06	5.829940126474323149e-06
3.010100000000000000e+04	7.321573708331916046e-06	4.194658596573507365e-06
3.020100000000000000e+04	6.597411695120583082e-06	2.957650304482703968e-06
3.030100000000000000e+04	5.639991868272492975e-06	2.113892540045272469e-06
3.040100000000000000e+04	4.584161147060615233e-06	1.732304944844862486e-06
3.050100000000000000e+04	3.639221702954081374e-06	1.668802338932936936e-06
3.060100000000000000e+04	2.846047927646019160e-06	1.843195851712279189e-06
3.070100000000000000e+04	2.217409352513826895e-06	2.151347744324928217e-06
3.080100000000000000e+04	1.790214306849744131e-06	2.551117811136328620e-06
3.090100000000000000e+04	1.484000482728987844e-06	2.978431588695690989e-06
3.100100000000000000e+04	1.322631703918862998e-06	3.440253925002232734e-06
3.110100000000000000e+04	1.281493233980913331e-06	3.895657744246621114e-06
3.120100000000000000e+04	1.355763996235451921e-06	4.344654159209785003e-06
3.130100000000000000e+04	1.579949520082336012e-06	4.793800920307319337e-06
3.140100000000000000e+04	1.928238526690951682e-06	5.181730451226673117e-06
3.150100000000000000e+04	2.408001482156555133e-06	5.511541072714588754e-06
3.160100000000000000e+04	3.012953638038927892e-06	5.695484716757943687e-06
3.170100000000000000e+04	3.662344732047323860e-06	5.729596168780923538e-06
3.180100000000000000e+04	4.312832013339157501e-06	5.662092504081622091e-06
3.190100000000000000e+04	4.931040734455158711e-06	5.413586700771143631e-06
3.200100000000000000e+04	5.486526418310447546e-06	5.049256761779883822e-06
3.210100000000000000e+04	5.922138517980061460e-06	4.591013229538312507e-06
3.220100000000000000e+04	6.257973336256227358e-06	4.086209937768067338e-06
3.230100000000000000e+04	6.449557672974841566e-06	3.576543432320917469e-06
3.240100000000000000e+04	6.566424973846913720e-06	3.046138784704262600e-06
3.250100000000000000e+04	6.591734358620410385e-06	2.498553915083204368e-06
3.260100000000000000e+04	6.525494575310204583e-06	2.010352591385654022e-06
3.270100000000000000e+04	6.399219472023959155e-06	1.579273070386454757e-06
3.280100000000000000e+04	6.212006934758376489e-06	1.187714524168865374e-06
3.290100000000000000e+04	5.999177575276518731e-06	8.483523610653472001e-07
3.300100000000000000e+04	5.748050818437468132e-06	5.699856864553625882e-07
3.310100000000000000e+04	5.482639078107249950e-06	3.493443093230734974e-07
3.320100000000000000e+04	5.205022888192874641e-06	1.983568780496578771e-07
3.330100000000000000e+04	4.961720435070324043e-06	5.833197570324773907e-08
3.340100000000000000e+04	4.732349254122473911e-06	5.678421016828714762e-09
3.350100000000000000e+04	4.531270973775348316e-06	-5.252396441750812098e-08
3.360100000000000000e+04	4.326631083627182577e-06	-9.281006246752074364e-08
3.370100000000000000e+04	4.111483764380125850e-06	-1.134576889899462808e-07
3.380100000000000000e+04	3.944161297557018152e-06	-1.197688632607514940e-07
3.390100000000000000e+04	3.777124934418744119e-06	-4.652855582948104786e-08
3.400100000000000000e+04	3.693111714357629365e-06	4.078597972152724364e-08
3.410100000000000000e+04	3.674998362203800951e-06	1.274352640787683540e-07
3.420100000000000000e+04	3.691794828594460682e-06	1.672208950868039648e-07
3.430100000000000000e+04	3.757953632979164790e-06	1.898676614609236499e-07
3.440100000000000000e+04	3.805668817764084394e-06	1.474688323024991373e-07
3.450100000000000000e+04	3.849475227027467771e-06	8.329173656869951976e-08
3.460100000000000000e+04	3.892171082710240202e-06	-3.385767781021606871e-08
3.470100000000000000e+04	3.956962885051787085e-06	-1.860166008504642998e-07
3.480100000000000000e+04	3.972727696075982858e-06	-3.959572913537295615e-07
3.490100000000000000e+04	3.939961792253326239e-06	-6.764539000921116150e-07
3.500100000000000000e+04	3.804746866635659409e-06	-9.502438514867697815e-07
3.510100000000000000e+04	3.594555666594586817e-06	-1.161004558689630506e-06
3.520100000000000000e+04	3.335735852224663762e-06	-1.296002198145739950e-06
3.530100000000000000e+04	3.035684049308486917e-06	-1.368454762589939725e-06
3.540100000000000000e+04	2.770963978405887398e-06	-1.372066286280051384e-06
3.550100000000000000e+04	2.509128062421036977e-06	-1.346420711390158192e-06
3.560100000000000000e+04	2.271381940344189824e-06	-1.306409898337154064e-06
3.570100000000000000e+04	2.042454702586188025e-06	-1.260470208985677176e-06
3.580100000000000000e+04	1.798129015607992092e-06	-1.264192565091213094e-06
3.590100000000000000e+04	1.544768920037744352e-06	-1.214982377094577725e-06
3.600100000000000000e+04	1.299478434906267361e-06	-1.132984891408246937e-06
3.610100000000000000e+04	1.097274583214408689e-06	-1.005528016551105398e-06
3.620100000000000000e+04	9.507782867211340701e-07	-8.732804597413877350e-07
3.630100000000000000e+04	8.605394270267521999e-07	-7.539680983167040342e-07
3.640100000000000000e+04	7.622070724311918762e-07	-6.246572600073596541e-07
3.650100000000000000e+04	6.939299124187709905e-07	-4.964004868024210859e-07
3.660100000000000000e+04	6.438392525334333583e-07	-3.807499720700168245e-07
3.670100000000000000e+04	6.041549559965214987e-07	-2.709854452451824883e-07
3.680100000000000000e+04	5.756962238633586707e-07	-1.324071721013981463e-07
3.690100000000000000e+04	5.489077229203544533e-07	-1.183757975458436968e-08
3.700100000000000000e+04	5.364557919205861177e-07	1.258546065024957955e-07
3.710100000000000000e+04	5.475808674341631539e-07	2.520577902275781906e-07
